,Location,Date,Hour,Measurement
464,siwak,2019-03-19,10,
465,siwak,2019-03-19,14,
466,siwak,2019-03-19,18,
467,siwak,2019-03-19,22,
468,siwak,2019-03-20,2,
469,siwak,2019-03-20,6,4.15
470,siwak,2019-03-20,10,
471,siwak,2019-03-20,14,
472,siwak,2019-03-20,18,
473,siwak,2019-03-20,22,
474,siwak,2019-03-21,2,
475,siwak,2019-03-21,6,3.8
476,siwak,2019-03-21,10,
477,siwak,2019-03-21,14,
478,siwak,2019-03-21,18,
479,siwak,2019-03-21,22,
480,siwak,2019-03-22,2,
481,siwak,2019-03-22,6,3.5
482,siwak,2019-03-22,10,
483,siwak,2019-03-22,14,
484,siwak,2019-03-22,18,
485,siwak,2019-03-22,22,
486,siwak,2019-03-23,2,
487,siwak,2019-03-23,6,3.3
488,siwak,2019-03-23,10,
489,siwak,2019-03-23,14,
490,siwak,2019-03-23,18,
491,siwak,2019-03-23,22,
492,siwak,2019-03-24,2,
493,siwak,2019-03-24,6,3.2
494,siwak,2019-03-24,10,
495,siwak,2019-03-24,14,
496,siwak,2019-03-24,18,
497,siwak,2019-03-24,22,
498,siwak,2019-03-25,2,
499,siwak,2019-03-25,6,3.0
500,siwak,2019-03-25,10,
501,siwak,2019-03-25,14,
502,siwak,2019-03-25,18,
503,siwak,2019-03-25,22,
504,siwak,2019-03-26,2,
505,siwak,2019-03-26,6,2.8
506,siwak,2019-03-26,10,
507,siwak,2019-03-26,14,
508,siwak,2019-03-26,18,
509,siwak,2019-03-26,22,
510,siwak,2019-03-27,2,
511,siwak,2019-03-27,6,2.3
512,siwak,2019-03-27,10,
513,siwak,2019-03-27,14,
514,siwak,2019-03-27,18,
515,siwak,2019-03-27,22,
516,siwak,2019-03-28,2,
517,siwak,2019-03-28,6,2.2
518,siwak,2019-03-28,10,
519,siwak,2019-03-28,14,
520,siwak,2019-03-28,18,
521,siwak,2019-03-28,22,
522,siwak,2019-03-29,2,
523,siwak,2019-03-29,6,3.0
524,siwak,2019-03-29,10,
525,siwak,2019-03-29,14,
526,siwak,2019-03-29,18,
527,siwak,2019-03-29,22,
528,siwak,2019-03-30,2,
529,siwak,2019-03-30,6,3.15
530,siwak,2019-03-30,10,
531,siwak,2019-03-30,14,
532,siwak,2019-03-30,18,
533,siwak,2019-03-30,22,
534,siwak,2019-03-31,2,
535,siwak,2019-03-31,6,3.5
536,siwak,2019-03-31,10,
537,siwak,2019-03-31,14,
538,siwak,2019-03-31,18,
539,siwak,2019-03-31,22,
540,siwak,2019-04-01,2,
541,siwak,2019-04-01,6,4.0
542,siwak,2019-04-01,10,
543,siwak,2019-04-01,14,
544,siwak,2019-04-01,18,
545,siwak,2019-04-01,22,
546,siwak,2019-04-02,2,
547,siwak,2019-04-02,6,4.4
548,siwak,2019-04-02,10,
549,siwak,2019-04-02,14,
550,siwak,2019-04-02,18,
551,siwak,2019-04-02,22,
552,siwak,2019-04-03,2,
553,siwak,2019-04-03,6,5.1
554,siwak,2019-04-03,10,
555,siwak,2019-04-03,14,
556,siwak,2019-04-03,18,
557,siwak,2019-04-03,22,
558,siwak,2019-04-04,2,
559,siwak,2019-04-04,6,6.0
560,siwak,2019-04-04,10,
561,siwak,2019-04-04,14,
562,siwak,2019-04-04,18,
563,siwak,2019-04-04,22,
564,siwak,2019-04-05,2,
565,siwak,2019-04-05,6,6.4
566,siwak,2019-04-05,10,
567,siwak,2019-04-05,14,
568,siwak,2019-04-05,18,
569,siwak,2019-04-05,22,
570,siwak,2019-04-06,2,
571,siwak,2019-04-06,6,6.8
572,siwak,2019-04-06,10,
573,siwak,2019-04-06,14,
574,siwak,2019-04-06,18,
575,siwak,2019-04-06,22,
576,siwak,2019-04-07,2,
577,siwak,2019-04-07,6,7.05
578,siwak,2019-04-07,10,
579,siwak,2019-04-07,14,
580,siwak,2019-04-07,18,
581,siwak,2019-04-07,22,
